S_MW,W_MW,Baseload_MW,DailyAvgProd_MW,DailyErrorPct
25.0,100.0,134080.47176374015,34374.8541923516,-0.7436251995523802
25.0,105.0,134047.69811230642,34460.20941752284,-0.7429257652104421
25.0,110.0,134015.2946983108,34545.56464269406,-0.742226700911553
25.0,115.0,133983.32851780902,34630.91986786529,-0.7415281419638552
25.0,120.0,133951.8594303214,34716.27509303654,-0.7408302113857919
25.0,125.0,133920.64471882823,34801.63031820777,-0.7401324464105203
25.0,130.0,133890.0212102591,34886.985543379,-0.7394355066342625
25.0,135.0,133859.65331209867,34972.340768550224,-0.7387387468648904
25.0,140.0,133829.29232970483,35057.69599372146,-0.7380416844217293
25.0,145.0,133799.1065226666,35143.051218892695,-0.7373446495105018
25.0,150.0,133769.11486607188,35228.406444063934,-0.7366476822446331
25.0,155.0,133739.16436655915,35313.76166923516,-0.7359504836410867
25.0,160.0,133709.3260997425,35399.11689440639,-0.7352531949192543
25.0,165.0,133679.61967375776,35484.47211957762,-0.7345558567104191
25.0,170.0,133649.91324777395,35569.82734474886,-0.7338582085062348
25.0,175.0,133620.26566466072,35655.182569920085,-0.7331603676091927
25.0,180.0,133590.79403987614,35740.537795091324,-0.7324625693562166
25.0,185.0,133561.94546505227,35825.893020262556,-0.7317657144367012
25.0,190.0,133533.41135471844,35911.24824543379,-0.7310691917392939
25.0,195.0,133505.02513770497,35996.60347060502,-0.7303726699914405
25.0,200.0,133476.87224905926,36081.95869577625,-0.7296763245362116
30.0,0.0,161761.59224999897,39201.29962671233,-0.7576600286789488
30.0,5.0,161722.85202963513,39286.65485188357,-0.7570741898325882
30.0,10.0,161684.48789741998,39372.010077054794,-0.7564886366709824
30.0,15.0,161646.37748678584,39457.36530222602,-0.7559031887030593
30.0,20.0,161608.6710783811,39542.72052739726,-0.7553180762917181
30.0,25.0,161571.48341071198,39628.07575256849,-0.7547334782349272
30.0,30.0,161534.34329312443,39713.43097773972,-0.7541486833813743
30.0,35.0,161497.25045255484,39798.78620291096,-0.7535636916951526
30.0,40.0,161460.36631233327,39884.14142808219,-0.7529787505193117
30.0,45.0,161423.8800090484,39969.49665325342,-0.7523941522715661
30.0,50.0,161387.6011423791,40054.851878424655,-0.7518096087004383
30.0,55.0,161351.45371462224,40140.20710359589,-0.7512250049225416
30.0,60.0,161315.41770360427,40225.56232876713,-0.7506403113763355
30.0,65.0,161279.54848568374,40310.91755393835,-0.7500556150334423
30.0,70.0,161243.78677163884,40396.27277910959,-0.7494708255870923
30.0,75.0,161208.09563596814,40481.628004280814,-0.7488858866263494
30.0,80.0,161172.4478869695,40566.98322945206,-0.7483007563556908
30.0,85.0,161136.8987980779,40652.33845462329,-0.7477155216598458
30.0,90.0,161101.7355317875,40737.693679794516,-0.7471306342832263
30.0,95.0,161066.63934337714,40823.04890496575,-0.7465455970808748
30.0,100.0,161031.73247292172,40908.40413013699,-0.7459606035287738
30.0,105.0,160997.33389440487,40993.75935530822,-0.745376160190359
30.0,110.0,160963.33826443396,41079.11458047945,-0.7447921059328814
30.0,115.0,160929.8295481641,41164.46980565068,-0.7442085788493878
30.0,120.0,160896.5661164882,41249.825030821914,-0.7436251995523803
30.0,125.0,160863.74230215186,41335.18025599315,-0.743042281222372
30.0,130.0,160831.30906177108,41420.535481164385,-0.7424597503881795
30.0,135.0,160799.07215466863,41505.89070633562,-0.7418772997246393
